product_id,product_name,category,sub_category,unit_price
83,Product_83,Furniture,Storage,20941
84,Product_84,Furniture,Storage,32196
85,Product_85,Furniture,Storage,40901
86,Product_86,Furniture,Storage,28691
87,Product_87,Furniture,Storage,24207
88,Product_88,Furniture,Storage,21588
89,Product_89,Furniture,Storage,8338
90,Product_90,Furniture,Storage,14767
91,Product_91,Furniture,Storage,29851
92,Product_92,Furniture,Storage,935
93,Product_93,Furniture,Storage,36582
94,Product_94,Furniture,Storage,10460
95,Product_95,Furniture,Storage,33128
96,Product_96,Furniture,Storage,21469
97,Product_97,Clothing,Men,26538
98,Product_98,Clothing,Men,7883
99,Product_99,Clothing,Men,16215
100,Product_100,Clothing,Men,34322
101,Product_101,Clothing,Men,41801
102,Product_102,Clothing,Men,24014
103,Product_103,Clothing,Men,33607
104,Product_104,Clothing,Men,37552
105,Product_105,Clothing,Men,3985
106,Product_106,Clothing,Men,12781
107,Product_107,Clothing,Men,16438
108,Product_108,Clothing,Men,43868
109,Product_109,Clothing,Men,17433
110,Product_110,Clothing,Men,1904
111,Product_111,Clothing,Men,6592
112,Product_112,Clothing,Men,37625
113,Product_113,Clothing,Women,871
114,Product_114,Clothing,Women,9478
115,Product_115,Clothing,Women,41154
116,Product_116,Clothing,Women,45311
117,Product_117,Clothing,Women,33907
118,Product_118,Clothing,Women,33528
119,Product_119,Clothing,Women,45625
120,Product_120,Clothing,Women,29527
121,Product_121,Clothing,Women,1645
122,Product_122,Clothing,Women,42628
123,Product_123,Clothing,Women,18863
124,Product_124,Clothing,Women,27738
125,Product_125,Clothing,Women,5525
126,Product_126,Clothing,Women,38660
127,Product_127,Clothing,Women,38980
128,Product_128,Clothing,Women,14476
129,Product_129,Clothing,Kids,39967
130,Product_130,Clothing,Kids,26547
131,Product_131,Clothing,Kids,11258
132,Product_132,Clothing,Kids,21090
133,Product_133,Clothing,Kids,36125
134,Product_134,Clothing,Kids,46362
135,Product_135,Clothing,Kids,17585
136,Product_136,Clothing,Kids,34200
137,Product_137,Clothing,Kids,33063
138,Product_138,Clothing,Kids,31569
139,Product_139,Clothing,Kids,37908
140,Product_140,Clothing,Kids,40063
141,Product_141,Clothing,Kids,19574
142,Product_142,Clothing,Kids,45182
143,Product_143,Clothing,Kids,6935
144,Product_144,Clothing,Kids,39081
145,Product_145,Groceries,Snacks,29090
146,Product_146,Groceries,Snacks,16243
147,Product_147,Groceries,Snacks,14969
148,Product_148,Groceries,Snacks,8840
149,Product_149,Groceries,Snacks,31226
150,Product_150,Groceries,Snacks,28902
151,Product_151,Groceries,Snacks,29632
152,Product_152,Groceries,Snacks,12248
153,Product_153,Groceries,Snacks,28949
154,Product_154,Groceries,Snacks,47446
155,Product_155,Groceries,Snacks,5960
156,Product_156,Groceries,Snacks,21536
157,Product_157,Groceries,Snacks,7499
158,Product_158,Groceries,Snacks,32401
159,Product_159,Groceries,Snacks,32630
160,Product_160,Groceries,Snacks,28842
161,Product_161,Groceries,Beverages,1727
162,Product_162,Groceries,Beverages,10539
163,Product_163,Groceries,Beverages,46737
164,Product_164,Groceries,Beverages,32781
165,Product_165,Groceries,Beverages,43294
166,Product_166,Groceries,Beverages,32240
167,Product_167,Groceries,Beverages,33825
168,Product_168,Groceries,Beverages,37763
169,Product_169,Groceries,Beverages,48845
170,Product_170,Groceries,Beverages,14770
171,Product_171,Groceries,Beverages,6706
172,Product_172,Groceries,Beverages,14492
173,Product_173,Groceries,Beverages,27679
174,Product_174,Groceries,Beverages,44151
175,Product_175,Groceries,Beverages,8742
176,Product_176,Groceries,Beverages,13749
177,Product_177,Groceries,Household,44882
178,Product_178,Groceries,Household,11911
179,Product_179,Groceries,Household,12168
180,Product_180,Groceries,Household,27700
181,Product_181,Groceries,Household,47256
182,Product_182,Groceries,Household,49401
183,Product_183,Groceries,Household,18114
184,Product_184,Groceries,Household,7427
185,Product_185,Groceries,Household,24682
186,Product_186,Groceries,Household,44313
187,Product_187,Groceries,Household,42319
188,Product_188,Groceries,Household,40983
189,Product_189,Groceries,Household,3408
190,Product_190,Groceries,Household,30665
191,Product_191,Groceries,Household,4098
192,Product_192,Groceries,Household,25888
